"","X","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"278",278,"JOSE FRUTOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"279",279,"JOSE HEBERTO FELIX",13,2,4,1,0,0,4,3,0,0,0,0,1
"280",280,"JOSE ISIDRO MARQUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"281",281,"JOSE LOPEZ CRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"282",282,"JOSE LUGO",3,0,0,0,0,0,0,0,1,0,0,0,0
"283",283,"JOSE LUNA",5,0,0,0,0,0,0,0,1,0,0,0,0
"284",284,"JOSE MANUEL LOPEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"285",285,"JOSE MANUEL OROZCO",50,6,12,1,0,2,6,4,13,1,0,0,0
"286",286,"JOSE MARRUJO",0,0,0,0,0,0,0,0,0,0,0,0,0
"287",287,"JOSE MARTINEZ",37,2,10,1,0,0,4,1,11,2,0,0,1
"288",288,"JOSE MERAZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"289",289,"JOSE MORENO",1,0,0,0,0,0,0,0,0,0,0,0,0
"290",290,"JOSE PINA",0,0,0,0,0,0,0,0,0,0,0,0,0
"291",291,"JOSE RUIZ",51,3,13,4,0,0,6,5,12,0,0,0,0
"292",292,"JOSE SAMAYOA",0,0,0,0,0,0,0,0,0,0,0,0,0
"293",293,"JOSE VARGAS",41,7,14,0,0,5,8,3,7,1,2,0,0
"294",294,"JOSH JUDY",0,0,0,0,0,0,0,0,0,0,0,0,0
"295",295,"JOSH LOWEY",0,0,0,0,0,0,0,0,0,0,0,0,0
"296",296,"JOSH LUEKE",0,0,0,0,0,0,0,0,0,0,0,0,0
"297",297,"JOSH RODRIGUEZ",17,0,3,1,0,0,1,1,5,0,0,0,0
"298",298,"JOSH ROMANSKI",42,10,8,3,0,1,1,11,9,0,0,0,0
"299",299,"JOVAN ROSA",50,5,15,2,0,1,9,1,9,2,0,1,0
"300",300,"JOVANY LOPEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"301",301,"JUAN APODACA",33,3,8,0,0,3,8,3,5,1,0,0,0
"302",302,"JUAN CARLOS GAMBOA",22,1,4,2,0,0,4,6,6,0,0,0,0
"303",303,"JUAN CARLOS GARCIA",2,0,0,0,0,0,0,0,1,0,0,0,0
"304",304,"JUAN GRULLON",0,0,0,0,0,0,0,0,0,0,0,0,0
"305",305,"JUAN MACIAS",9,4,1,0,0,0,0,0,5,0,0,0,0
"306",306,"JUAN MARTINEZ",47,9,13,2,1,0,1,6,9,1,0,0,0
"307",307,"JUAN OMAR ESPINOZA",0,0,0,0,0,0,0,0,0,0,0,0,0
"308",308,"JUAN PABLO ORAMAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"309",309,"JUAN RAMON NORIEGA",0,0,0,0,0,0,0,0,0,0,0,0,0
"310",310,"JUAN RODRIGUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
