"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"418","OSCAR FELIX",0,0,0,0,0,0,0,0,0,0,0,0,0
"419","OSCAR HURTADO",0,0,0,0,0,0,0,0,0,0,0,0,0
"420","OSCAR SANAY",41,8,15,2,0,0,9,1,5,1,1,1,1
"421","OSCAR VERDUGO",0,0,0,0,0,0,0,0,0,0,0,0,0
"422","OSCAR WILLIAMS",28,1,7,0,0,0,3,3,6,2,0,1,1
"423","OSWALDO MARTINEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"424","OZIEL FLORES",40,6,11,1,1,1,2,7,7,1,0,0,1
"425","OZZIE MENDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"426","PABLO ORTEGA",0,0,0,0,0,0,0,0,0,0,0,0,0
"427","PATRICK JOHNSON",0,0,0,0,0,0,0,0,0,0,0,0,0
"428","PATRICK MCCOY",0,0,0,0,0,0,0,0,0,0,0,0,0
"429","PAUL CLEMENS",0,0,0,0,0,0,0,0,0,0,0,0,0
"430","PAUL LEON",75,12,22,2,0,3,9,9,13,0,0,1,0
"431","PAUL PAEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"432","PEDRO ARENAS",2,0,0,0,0,0,0,0,2,0,0,0,0
"433","PEDRO RODRIGUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"434","PEDRO VILLARREAL",0,0,0,0,0,0,0,0,0,0,0,0,0
"435","PHIL COKE",0,0,0,0,0,0,0,0,0,0,0,0,0
"436","QUINCY LATIMORE",87,19,35,7,1,5,21,9,13,0,1,1,0
"437","RAFAEL CORDOVA",0,0,0,0,0,0,0,0,0,0,0,0,0
"438","RAFAEL DIAZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"439","RAFAEL MARTIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"440","RAFAEL PINEDA",0,0,0,0,0,0,0,0,0,0,0,0,0
"441","RAINEL ROSARIO",52,11,17,5,0,1,8,8,6,3,0,1,0
